,rank,skillRating,reputationlevel,bestDivision,wins,ties,losses,gamesPlayed,goals,goalsAgainst,cleanSheets,goalsPerGame,goalsAgainstPerGame,gamesPlayedPlayoff,reputationtier,bestFinishGroup,clubName,clubId,currentDivision,clubInfo,platform
92,93,2184,7,1,86,9,8,103,376,101,43,3.65,0.98,20,2,1,Amigos,11471,5,"{'name': 'Amigos', 'clubId': 11471, 'regionId': 5064001, 'teamId': 241, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '1974273', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160928'}}",common-gen4
93,94,2183,8,1,168,25,43,236,774,413,71,3.28,1.75,20,2,3,kirla,511101,1,"{'name': 'kirla', 'clubId': 511101, 'regionId': 5064001, 'teamId': 110, 'customKit': {'stadName': 'Estadio Presidente Perón', 'kitId': '901120', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161124'}}",common-gen4
94,95,2183,8,1,218,34,67,319,1179,663,62,3.70,2.08,20,2,4,OG Søndermarken,264831,1,"{'name': 'OG Søndermarken', 'clubId': 264831, 'regionId': 5719381, 'teamId': 822, 'customKit': {'stadName': 'Kammer Stadion', 'kitId': '6733824', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160219'}}",common-gen4
95,96,2182,8,1,213,15,37,265,897,362,90,3.38,1.37,20,2,2,VFL Heidelberg,1591146,1,"{'name': 'VFL Heidelberg', 'clubId': 1591146, 'regionId': 4539733, 'teamId': 1824, 'customKit': {'stadName': 'Estadio de Montilivi', 'kitId': '14942208', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '1', 'customKitId': '7510', 'customAwayKitId': '7510', 'customThirdKitId': '7511', 'customKeeperKitId': '5002', 'kitColor1': '14358546', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '2704542', 'kitAColor2': '22436', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160115'}}",common-gen4
96,97,2181,8,1,155,24,26,205,764,332,50,3.73,1.62,20,2,2,Al HIPOU,120841,2,"{'name': 'Al HIPOU', 'clubId': 120841, 'regionId': 4407629, 'teamId': 111138, 'customKit': {'stadName': 'Arena Don Bosco', 'kitId': '910442497', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7703', 'customAwayKitId': '7702', 'customThirdKitId': '7703', 'customKeeperKitId': '5016', 'kitColor1': '592397', 'kitColor2': '15921906', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '15921906', 'kitAColor2': '592397', 'kitAColor3': '1841428', 'kitAColor4': '1841428', 'kitThrdColor1': '592397', 'kitThrdColor2': '14358546', 'kitThrdColor3': '14358546', 'kitThrdColor4': '14358546', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99160119'}}",common-gen4
97,98,2180,5,1,109,23,20,152,440,156,53,2.89,1.03,0,1,0,F e i n x,16306,1,"{'name': 'F e i n x', 'clubId': 16306, 'regionId': 5064001, 'teamId': 688, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '5636096', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160711'}}",common-gen4
98,99,2180,8,1,198,21,49,268,995,511,59,3.71,1.91,20,2,2,Complacency FC,7921,2,"{'name': 'Complacency FC', 'clubId': 7921, 'regionId': 4344147, 'teamId': 112259, 'customKit': {'stadName': 'Tier 3 Stadium', 'kitId': '919625728', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7543', 'customAwayKitId': '7541', 'customThirdKitId': '7630', 'customKeeperKitId': '5016', 'kitColor1': '14358546', 'kitColor2': '592397', 'kitColor3': '15921906', 'kitColor4': '14935011', 'kitAColor1': '15921906', 'kitAColor2': '14277081', 'kitAColor3': '16696614', 'kitAColor4': '1841428', 'kitThrdColor1': '14655653', 'kitThrdColor2': '592397', 'kitThrdColor3': '6379598', 'kitThrdColor4': '592397', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161119'}}",common-gen4
99,100,2179,8,1,207,42,78,327,999,621,73,3.06,1.90,20,2,1,al7ntkorxx,745166,2,"{'name': 'al7ntkorxx', 'clubId': 745166, 'regionId': 5064001, 'teamId': 144, 'customKit': {'stadName': 'Estadio Benito Villamarín', 'kitId': '1179648', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412416', 'selectedKitType': '0', 'customKitId': '7573', 'customAwayKitId': '7616', 'customThirdKitId': '7622', 'customKeeperKitId': '5032', 'kitColor1': '592397', 'kitColor2': '11670838', 'kitColor3': '3554112', 'kitColor4': '15921906', 'kitAColor1': '15921906', 'kitAColor2': '3554112', 'kitAColor3': '4920087', 'kitAColor4': '8654629', 'kitThrdColor1': '592397', 'kitThrdColor2': '15101200', 'kitThrdColor3': '15101200', 'kitThrdColor4': '15101200', 'dCustomKit': '0', 'crestColor': '16777215', 'crestAssetId': '99120222'}}",common-gen4
100,1,82877,1,6,1,0,0,1,31000,0,1,31000.00,0.00,0,0,0,WeWinYouQuit,7835695,6,"{'name': 'WeWinYouQuit', 'clubId': 7835695, 'regionId': 4344147, 'teamId': 1943, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160124'}}",common-gen5
101,2,64020,1,6,1,0,0,1,33333,0,1,33333.00,0.00,0,0,0,WeWinYouReport,7835455,6,"{'name': 'WeWinYouReport', 'clubId': 7835455, 'regionId': 4344147, 'teamId': 1943, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160921'}}",common-gen5
102,3,62994,1,6,1,0,0,1,31343,0,1,31343.00,0.00,0,0,0,WeWinYouDosser,7834775,6,"{'name': 'WeWinYouDosser', 'clubId': 7834775, 'regionId': 4344147, 'teamId': 1943, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161124'}}",common-gen5
103,4,62732,1,6,1,0,0,1,34429,0,1,34429.00,0.00,0,0,0,WeWinYouBum,7834100,6,"{'name': 'WeWinYouBum', 'clubId': 7834100, 'regionId': 4344147, 'teamId': 1943, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160625'}}",common-gen5
104,5,62036,1,6,1,0,0,1,31111,0,1,31111.00,0.00,0,0,0,WeWinYouSob,7835260,6,"{'name': 'WeWinYouSob', 'clubId': 7835260, 'regionId': 4344147, 'teamId': 1943, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160414'}}",common-gen5
105,6,61991,1,6,1,0,0,1,34429,0,1,34429.00,0.00,0,0,0,WeWinYouLazy,7833715,6,"{'name': 'WeWinYouLazy', 'clubId': 7833715, 'regionId': 4344147, 'teamId': 1943, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160127'}}",common-gen5
106,7,59628,1,6,1,0,0,1,32004,0,1,32004.00,0.00,0,0,0,WeWinYouLose,7832480,6,"{'name': 'WeWinYouLose', 'clubId': 7832480, 'regionId': 4344147, 'teamId': 11, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '90112', 'customKitId': '7509', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'customAwayKitId': '7509', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'customThirdKitId': '7511', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'customKeeperKitId': '5005', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160706', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0'}}",common-gen5
107,8,57200,1,6,1,0,0,1,33222,0,1,33222.00,0.00,0,0,0,WeWinYouBin,7834895,6,"{'name': 'WeWinYouBin', 'clubId': 7834895, 'regionId': 4344147, 'teamId': 1943, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160102'}}",common-gen5
108,9,54611,1,5,6,0,0,6,34446,0,6,5741.00,0.00,0,0,0,WeWinYouFail,7832930,5,"{'name': 'WeWinYouFail', 'clubId': 7832930, 'regionId': 4344147, 'teamId': 11, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '90112', 'customKitId': '7509', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'customAwayKitId': '7509', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'customThirdKitId': '7511', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'customKeeperKitId': '5005', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160124', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0'}}",common-gen5
109,10,52770,1,6,1,0,0,1,34118,0,1,34118.00,0.00,0,0,0,WeWinYouBad,7833270,6,"{'name': 'WeWinYouBad', 'clubId': 7833270, 'regionId': 4344147, 'teamId': 1943, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160624'}}",common-gen5
110,11,49588,1,6,1,0,0,1,32000,0,1,32000.00,0.00,0,0,0,WeWinYouMad,7835590,6,"{'name': 'WeWinYouMad', 'clubId': 7835590, 'regionId': 4344147, 'teamId': 1943, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160426'}}",common-gen5
111,12,45887,5,1,137,1,1,139,2048974,22,124,14740.80,0.16,10,1,1,WeWinYouCry,7428016,1,"{'name': 'WeWinYouCry', 'clubId': 7428016, 'regionId': 4344147, 'teamId': 1318, 'customKit': {'stadName': 'Estadio Alfredo Di Stéfano', 'kitId': '10797056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '1', 'customKitId': '7622', 'customAwayKitId': '7600', 'customThirdKitId': '7647', 'customKeeperKitId': '5011', 'kitColor1': '1482375', 'kitColor2': '5775459', 'kitColor3': '5775459', 'kitColor4': '5775459', 'kitAColor1': '592397', 'kitAColor2': '5775459', 'kitAColor3': '1482375', 'kitAColor4': '1482375', 'kitThrdColor1': '15921906', 'kitThrdColor2': '33627', 'kitThrdColor3': '5775459', 'kitThrdColor4': '5775459', 'dCustomKit': '1', 'crestColor': '116423', 'crestAssetId': '99161205'}}",common-gen5
112,13,38275,1,6,1,0,0,1,34429,0,1,34429.00,0.00,0,0,0,WeWinYouCum,7833945,6,"{'name': 'WeWinYouCum', 'clubId': 7833945, 'regionId': 4344147, 'teamId': 1943, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161116'}}",common-gen5
113,14,33020,1,6,1,0,0,1,30000,0,1,30000.00,0.00,0,0,0,WeWinYouLeave,7835840,6,"{'name': 'WeWinYouLeave', 'clubId': 7835840, 'regionId': 4344147, 'teamId': 1943, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160506'}}",common-gen5
114,15,23793,1,6,1,0,0,1,26786,0,1,26786.00,0.00,0,0,0,WeWinYouBye,7834650,6,"{'name': 'WeWinYouBye', 'clubId': 7834650, 'regionId': 4344147, 'teamId': 1943, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160417'}}",common-gen5
115,16,3364,9,1,692,6,20,718,4144,376,600,5.77,0.52,20,3,1,Scoregahzmic,3956236,1,"{'name': 'Scoregahzmic', 'clubId': 3956236, 'regionId': 4543827, 'teamId': 77, 'customKit': {'stadName': 'The sacred Spot', 'kitId': '630785', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7641', 'customAwayKitId': '7641', 'customThirdKitId': '7850', 'customKeeperKitId': '5030', 'kitColor1': '592397', 'kitColor2': '16774144', 'kitColor3': '16774144', 'kitColor4': '16774144', 'kitAColor1': '16774144', 'kitAColor2': '592397', 'kitAColor3': '592397', 'kitAColor4': '592397', 'kitThrdColor1': '1841428', 'kitThrdColor2': '7192366', 'kitThrdColor3': '16774144', 'kitThrdColor4': '16774144', 'dCustomKit': '0', 'crestColor': '16244746', 'crestAssetId': '99160705'}}",common-gen5
116,17,2596,8,1,293,6,18,317,3211,303,151,10.13,0.96,20,2,1,ForZa CaLcio,6133696,5,"{'name': 'ForZa CaLcio', 'clubId': 6133696, 'regionId': 5719381, 'teamId': 45, 'customKit': {'stadName': 'Lumen Field', 'kitId': '368640', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7540', 'customAwayKitId': '7666', 'customThirdKitId': '7700', 'customKeeperKitId': '5028', 'kitColor1': '1259409', 'kitColor2': '592397', 'kitColor3': '16464712', 'kitColor4': '16774144', 'kitAColor1': '16774144', 'kitAColor2': '16045584', 'kitAColor3': '13883203', 'kitAColor4': '1841428', 'kitThrdColor1': '592397', 'kitThrdColor2': '15921906', 'kitThrdColor3': '15101200', 'kitThrdColor4': '15101200', 'dCustomKit': '1', 'crestColor': '0', 'crestAssetId': '99160119'}}",common-gen5
117,18,2500,9,1,639,28,36,703,2804,659,329,3.99,0.94,20,3,1,Moe Club,733271,1,"{'name': 'Moe Club', 'clubId': 733271, 'regionId': 5064001, 'teamId': 605, 'customKit': {'stadName': 'Moe Stadium', 'kitId': '4956160', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412416', 'selectedKitType': '1', 'customKitId': '7632', 'customAwayKitId': '7509', 'customThirdKitId': '7645', 'customKeeperKitId': '5031', 'kitColor1': '15101200', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '1909296', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '15921906', 'kitThrdColor2': '14935011', 'kitThrdColor3': '14358546', 'kitThrdColor4': '14358546', 'dCustomKit': '1', 'crestColor': '16777215', 'crestAssetId': '99100209'}}",common-gen5
118,19,2494,8,1,248,5,13,266,1166,125,200,4.38,0.47,20,2,1,Ploppy XI,1921266,1,"{'name': 'Ploppy XI', 'clubId': 1921266, 'regionId': 4344147, 'teamId': 5, 'customKit': {'stadName': 'The War Room', 'kitId': '40960', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7603', 'customAwayKitId': '7536', 'customThirdKitId': '7600', 'customKeeperKitId': '5028', 'kitColor1': '5775459', 'kitColor2': '7192366', 'kitColor3': '16774144', 'kitColor4': '13979995', 'kitAColor1': '7192366', 'kitAColor2': '4920087', 'kitAColor3': '13979995', 'kitAColor4': '12706617', 'kitThrdColor1': '4920087', 'kitThrdColor2': '6379598', 'kitThrdColor3': '4002593', 'kitThrdColor4': '6379598', 'dCustomKit': '3', 'crestColor': '13543260', 'crestAssetId': '99161111'}}",common-gen5
119,20,2465,9,1,441,1,18,460,2001,173,360,4.35,0.38,20,3,1,HUKUKLER,1319771,1,"{'name': 'HUKUKLER', 'clubId': 1319771, 'regionId': 5064001, 'teamId': 1363, 'customKit': {'stadName': 'DAWLAT', 'kitId': '11165696', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160525'}}",common-gen5
120,21,2463,8,1,244,9,7,260,1102,230,120,4.24,0.88,20,2,1,xNever Enoughx,3700116,1,"{'name': 'xNever Enoughx', 'clubId': 3700116, 'regionId': 5719381, 'teamId': 1854, 'customKit': {'stadName': 'Tier 3 Stadium', 'kitId': '15187968', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412416', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160327'}}",common-gen5
121,22,2461,8,1,185,7,6,198,1792,386,89,9.05,1.95,20,2,1,THE  GÖATS,3841521,4,"{'name': 'THE  GÖATS', 'clubId': 3841521, 'regionId': 5064001, 'teamId': 110556, 'customKit': {'stadName': 'THE GÖATS AMK', 'kitId': '905674752', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160812'}}",common-gen5
122,23,2452,6,1,244,1,5,250,765,37,84,3.06,0.15,20,1,1,Elite Play,3682456,1,"{'name': 'Elite Play', 'clubId': 3682456, 'regionId': 4344147, 'teamId': 245, 'customKit': {'stadName': 'Estádio do Dragão', 'kitId': '2007040', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7649', 'customAwayKitId': '7645', 'customThirdKitId': '7572', 'customKeeperKitId': '5024', 'kitColor1': '22436', 'kitColor2': '1713203', 'kitColor3': '10066329', 'kitColor4': '10066329', 'kitAColor1': '15921906', 'kitAColor2': '6316643', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '8237531', 'kitThrdColor2': '14358546', 'kitThrdColor3': '16687883', 'kitThrdColor4': '16687883', 'dCustomKit': '0', 'crestColor': '16495884', 'crestAssetId': '99160821'}}",common-gen5
